order_id,customer_id,product_id,quantity,order_date
ORD007439,C08001,P02946,20.0,2024-10-26
ORD007973,C03545,P06751,1.0,2023-12-19
ORD005897,C06785,P09766,10.0,2023-01-26
ORD006649,C01370,P00105,2.0,2024-05-08
ORD007600,C00540,P02533,19.0,2022-05-17
ORD007238,C03386,P01312,8.0,2021-09-19
ORD001499,C04861,P09201,8.0,2024-09-16
ORD008908,C01253,P03893,20.0,2021-07-20
ORD001442,C03552,P06704,8.0,2023-06-05
ORD003485,C06783,P02158,15.0,2022-06-22
ORD005376,C07853,P07385,8.0,2024-06-02
ORD004193,C00161,P05492,1.0,2022-05-31
ORD000132,C03838,P09704,12.0,2024-02-27
ORD010460,C05042,P08339,13.0,2022-11-13
ORD001532,C05865,P03026,15.0,2022-06-26
ORD000672,C01378,P05379,9.0,2024-11-14
ORD007198,C02597,P00609,18.0,2022-02-17
ORD006094,C08633,P03727,1.0,2022-07-16
ORD006165,C00887,P08452,1.0,2024-06-18
ORD007285,C06537,P07958,15.0,2023-09-17
ORD003035,C04402,P07171,3.0,2021-01-15
ORD002038,C00083,P01180,11.0,2022-03-25
ORD009446,C02328,P04088,11.0,2021-03-18
ORD007554,C01576,P02141,18.0,2023-08-11
ORD004368,C07351,P03163,4.0,2023-10-07
ORD003993,C10348,P10775,13.0,2021-05-13
ORD001277,C07561,P09013,1.0,2022-08-11
ORD002684,C08646,P06975,5.0,2022-12-29
ORD007300,C09902,P09554,13.0,2024-05-18
ORD001287,C08000,P06557,15.0,2021-01-25
ORD000718,C06516,P07555,17.0,2024-11-26
ORD006764,C02680,P04263,7.0,2024-01-09
ORD000050,C06549,P04529,10.0,2024-08-09
ORD010254,C07123,P06786,10.0,2024-03-11
ORD000274,C08843,P01794,19.0,2022-01-05
ORD002990,C04083,P08454,20.0,2021-02-25
ORD003534,C03737,P01520,7.0,2023-10-05
ORD009681,C02308,P02692,14.0,2024-09-07
ORD006433,C07181,P08386,14.0,2021-12-29
ORD008201,C10384,P00445,13.0,2024-12-24
ORD000882,C04779,P06297,16.0,2024-12-23
ORD005776,C08608,P08030,18.0,2023-09-29
ORD005606,C05375,P09598,5.0,2024-12-13
ORD007264,C09641,P06558,13.0,2021-04-13
ORD006001,C10643,P05989,1.0,2022-07-28
ORD007822,C00005,P10518,15.0,2021-03-23
ORD000989,C03974,P04534,19.0,2024-02-01
ORD000106,C05842,P01087,14.0,2024-06-23
ORD002513,C03564,P09489,5.0,2023-09-27
ORD000894,C03333,P07977,15.0,2022-08-13
ORD005700,C00424,P07163,7.0,2021-01-12
ORD009809,C04968,P07410,5.0,2022-10-18
ORD003733,C08126,P00587,15.0,2023-12-17
ORD001002,C03823,P05539,7.0,2024-02-24
ORD003239,C09113,P01695,5.0,2024-10-30
ORD000285,C02815,P05254,14.0,2024-12-26
ORD007141,C10603,P08564,20.0,2022-07-04
ORD005562,C06334,P09362,10.0,2022-07-02
ORD005144,C00848,P05012,1.0,2021-07-05
ORD002542,C09622,P00037,10.0,2022-10-01
ORD_BAD0068,C10314,P05992,0.0,2023-06-01
ORD004137,C06597,P08743,6.0,2022-04-28
ORD009863,C07098,P04726,3.0,2021-10-22
ORD009820,C02711,P02498,10.0,2023-02-26
ORD002797,C10015,P08450,11.0,2024-07-07
ORD008994,C02598,P03343,15.0,2021-11-23
ORD008909,C03667,P07158,20.0,2024-06-18
ORD009235,C01458,P07005,12.0,2023-03-29
ORD004760,C05616,P00451,15.0,2022-10-23
ORD009115,C10453,P08227,9.0,2022-09-16
ORD003862,C04467,P09985,19.0,2021-12-12
ORD006691,C10799,P01221,1.0,2021-03-07
ORD002686,C01706,P01695,6.0,2023-01-18
ORD005115,C10439,P07532,1.0,2023-05-01
ORD009506,C05604,P00105,2.0,2021-02-21
ORD007176,C00236,P07735,6.0,2023-04-28
ORD007937,C01625,P00245,19.0,2024-09-03
ORD007137,C10681,P01601,13.0,2023-11-15
ORD010240,C04891,P02578,13.0,2022-08-29
ORD000926,C03545,P08972,11.0,2021-01-06
ORD003832,C09554,P03794,8.0,2023-03-12
ORD009490,C04704,P05269,8.0,2023-02-21
ORD002778,C03610,P03462,17.0,2024-10-18
ORD003931,C06738,P05758,13.0,2021-03-30
ORD003270,C09022,P02678,6.0,2023-04-12
ORD003794,C08329,P08369,3.0,2021-05-07
ORD004855,C07867,P09320,6.0,2024-11-08
ORD002181,C09648,P10042,3.0,2023-04-02
ORD010631,C06566,P10048,18.0,2021-07-11
ORD001527,C09776,P04339,8.0,2022-04-04
ORD009716,C10503,P04289,6.0,2021-05-31
ORD001369,C07000,P01972,19.0,2024-04-08
ORD000563,C04915,P04320,1.0,2023-10-28
ORD009348,C10510,P03741,2.0,2022-10-11
ORD002278,C05096,P02346,17.0,2021-01-14
ORD007912,C09006,P05186,2.0,2023-03-04
ORD008043,C03650,P07666,20.0,2022-09-19
ORD005651,C08200,P10756,8.0,2021-04-14
ORD008670,C07304,P02892,20.0,2024-03-17
ORD008317,C01493,P09041,10.0,2024-04-29
ORD002370,C01078,P08548,9.0,2021-09-15
ORD001713,C03079,P06649,2.0,2021-09-06
ORD005529,C04677,P09416,20.0,2022-12-09
ORD003308,C09142,P03279,16.0,2024-07-20
ORD002966,C02200,P00142,11.0,2022-11-11
ORD001953,C10390,P10377,12.0,2023-10-06
ORD006166,C09766,P03427,15.0,2021-05-19
ORD005913,C02014,P05900,12.0,2021-05-29
ORD000272,C08221,P08934,8.0,2024-12-21
ORD000362,C01350,P08884,15.0,2024-08-27
ORD003820,C09105,P03943,10.0,2022-12-25
ORD010606,C10025,P04208,20.0,2024-12-23
ORD002433,C06315,P08208,12.0,2024-09-29
ORD000478,C06688,P02899,7.0,2022-12-08
ORD005148,C00911,P00573,15.0,2022-03-06
ORD004416,C03436,P01236,11.0,2024-06-25
ORD008070,C07640,P09846,4.0,2024-06-19
ORD000186,C00531,P06141,6.0,2021-08-01
ORD004566,C10436,P01233,19.0,2021-03-26
ORD004581,C04588,P06047,1.0,2024-05-14
ORD001028,C04678,P06525,7.0,2024-04-27
ORD000035,C02131,P04523,3.0,2024-06-26
ORD007190,C02743,P10361,10.0,2023-11-14
ORD001613,C05926,P03868,6.0,2021-03-06
ORD003651,C02969,P07084,10.0,2022-04-04
ORD006922,C10023,P06396,11.0,2023-07-17
ORD003080,C02715,P08381,15.0,2021-05-26
ORD007852,C01306,P09985,1.0,2022-11-29
ORD003234,C03838,P05129,4.0,2023-04-19
ORD005907,C04428,P00056,6.0,2023-06-11
ORD007413,C07208,P08696,6.0,2023-12-21
ORD008464,C07653,P09594,8.0,2022-02-07
ORD008232,C09404,P04959,18.0,2024-07-23
ORD001977,C10050,P10215,8.0,2021-06-01
ORD006352,C05854,P04703,6.0,2023-12-22
ORD009284,C04031,P01896,8.0,2022-10-30
ORD009197,C03575,P01729,6.0,2023-01-05
ORD008255,C08407,P10551,19.0,2021-05-31
ORD003558,C03402,P01184,7.0,2023-03-10
ORD000573,C09190,P00771,11.0,2021-11-30
ORD006687,C02122,P04290,13.0,2022-07-16
ORD007082,C09486,P02796,17.0,2023-06-04
ORD001252,C02285,P00676,4.0,2021-07-21
ORD003322,C07304,P00183,9.0,2022-02-09
ORD007508,C05033,P01653,10.0,2023-08-27
ORD005052,C05668,P03707,13.0,2021-01-10
ORD004259,C00510,P06727,8.0,2023-11-24
ORD003486,C05579,P06527,14.0,2024-05-01
ORD006249,C01784,P05542,1.0,2023-06-19
ORD005517,C04232,P02363,17.0,2021-08-24
ORD005269,C04164,P10683,8.0,2024-10-24
ORD003969,C01008,P01824,6.0,2022-11-30
ORD001634,C05639,P05545,13.0,2021-08-24
ORD007447,C00409,P08909,8.0,2021-08-06
ORD003091,C05653,P02629,11.0,2021-09-26
ORD000415,C09199,P08399,9.0,2024-09-10
ORD005852,C06299,P05082,20.0,2022-09-23
ORD009824,C07669,P09617,1.0,2024-05-28
ORD005072,C01288,P07646,16.0,2024-05-19
ORD009758,C09162,P07689,14.0,2024-08-01
ORD002226,C07741,P03873,2.0,2022-04-12
ORD002082,C00783,P01799,4.0,2022-11-14
ORD005741,C01882,P09937,18.0,2021-07-10
ORD007204,C07408,P07524,14.0,2021-02-21
ORD008073,C01241,P05881,2.0,2023-11-22
ORD009432,C01152,P00998,2.0,2021-10-23
ORD000955,C08978,P10678,1.0,2021-10-20
ORD007161,C04690,P08030,14.0,2022-06-07
ORD010257,C10167,P00044,4.0,2024-02-28
ORD005737,C02685,P09752,3.0,2022-07-07
ORD003386,C00381,P09822,7.0,2023-10-13
ORD009799,C00081,P10233,17.0,2021-08-09
ORD010428,C08945,P04674,18.0,2023-03-25
ORD006952,C09763,P02858,7.0,2024-12-12
ORD010292,C00283,P07778,8.0,2023-11-06
ORD006299,C05255,P07509,11.0,2021-09-28
ORD005381,C00331,P04807,4.0,2024-12-16
ORD002834,C01694,P02521,6.0,2021-11-03
ORD009042,C03341,P02968,2.0,2024-02-27
ORD009754,C05591,P07282,3.0,2024-03-08
ORD003010,C06474,P06819,3.0,2022-10-16
ORD001833,C06603,P08335,20.0,2023-02-13
ORD005303,C01082,P02797,19.0,2024-02-06
ORD002967,C04858,P08957,6.0,2024-03-22
ORD009875,C01215,P03072,13.0,2022-06-20
ORD006106,C09127,P09377,15.0,2022-07-05
ORD004075,C01164,P08273,18.0,2024-08-04
ORD010669,C03009,P05548,9.0,2022-09-03
ORD009240,C03258,P00486,1.0,2023-08-09
ORD008505,C07939,P05974,1.0,2024-06-15
ORD005458,C02929,P04551,6.0,2024-07-08
ORD004634,C09057,P10782,10.0,2023-08-06
ORD003623,C02905,P08010,13.0,2023-08-03
ORD005935,C06608,P06699,17.0,2022-06-18
ORD000800,C06251,P05928,11.0,2024-02-28
ORD000051,C01441,P02028,4.0,2024-10-05
ORD004854,C01234,P08668,8.0,2022-07-24
ORD003064,C10076,P04289,11.0,2024-04-08
ORD001713,C03079,P06649,2.0,2021-09-06
ORD003205,C05538,P09284,12.0,2024-10-13
ORD002013,C05403,P09826,6.0,2023-10-28
ORD005152,C06585,P09380,8.0,2024-03-21
ORD001769,C03902,P04217,7.0,2023-08-26
ORD004673,C04972,P06542,14.0,2023-03-15
ORD007869,C06046,P10407,9.0,2024-07-05
ORD006431,C08828,P00993,12.0,2021-03-31
ORD007767,C04708,P10734,16.0,2021-11-11
ORD001711,C10312,P04163,16.0,2023-05-13
ORD006772,C03318,P09059,9.0,2021-01-13
ORD002655,C09301,P05258,6.0,2022-01-17
ORD010651,C06723,P08474,18.0,2023-11-19
ORD000647,C09168,P07537,13.0,2024-01-26
ORD009233,C06052,P02006,18.0,2022-10-29
ORD008838,C04275,P09846,9.0,2022-02-03
ORD007818,C06158,P04684,2.0,2024-01-06
ORD008375,C09035,P08141,12.0,2021-02-22
ORD007225,C01975,P07855,17.0,2021-12-21
ORD009567,C08145,P01168,10.0,2022-01-19
ORD004379,C00261,P05738,1.0,2021-10-06
ORD009257,C02228,P06316,9.0,2023-10-14
ORD005719,C08059,P04260,9.0,2023-10-21
ORD000418,C06788,P07725,17.0,2021-01-12
ORD005546,C08691,P05782,19.0,2024-01-23
ORD003337,C02578,P07129,10.0,2021-03-03
ORD000190,C00228,P01568,9.0,2022-01-13
ORD003601,C04284,P03531,20.0,2022-02-26
ORD004893,C07157,P03496,16.0,2024-12-09
ORD006701,C10540,P05960,16.0,2024-02-29
ORD008022,C09818,P00787,9.0,2022-04-03
ORD009773,C02327,P04737,3.0,2023-01-12
ORD001651,C10260,P01676,12.0,2022-01-16
ORD008993,C05544,P03692,12.0,2022-08-01
ORD003096,C04905,P06132,16.0,2022-08-28
ORD004142,C00165,P02285,11.0,2022-05-21
ORD004795,C01167,P09576,11.0,2021-09-22
ORD000632,C01539,P05178,14.0,2021-04-21
ORD007710,C10093,P10069,15.0,2023-08-05
ORD002624,C05353,P06949,3.0,2023-05-01
ORD003401,C09933,P06608,17.0,2022-10-16
ORD003870,C06208,P09558,1.0,2024-02-12
ORD002000,C08611,P02700,18.0,2021-01-04
ORD004870,C00147,P06959,3.0,2022-06-30
ORD002631,C06152,P09388,20.0,2021-04-15
ORD001291,C02267,P02483,1.0,2021-04-11
ORD001779,C06115,P09975,9.0,2023-09-10
ORD002025,C00131,P00817,19.0,2022-02-28
ORD008476,C02759,P03894,15.0,2022-01-18
ORD005352,C06589,P00299,5.0,2023-03-22
ORD004042,C08044,P04155,16.0,2023-10-30
ORD004915,C04807,P00998,17.0,2022-12-16
ORD008409,C01714,P08161,16.0,2022-08-15
ORD005372,C00606,P04514,19.0,2024-06-15
ORD007084,C05642,P10300,11.0,2021-08-08
ORD008746,C07159,P08726,20.0,2024-06-05
ORD008671,C00899,P05693,12.0,2022-10-22
ORD006418,C08196,P06800,4.0,2023-10-05
ORD008694,C06164,P07559,17.0,2021-08-21
ORD002697,C05717,P02447,6.0,2021-01-06
ORD001420,C04566,P01057,11.0,2024-01-19
ORD008794,C05567,P02346,5.0,2024-02-01
ORD010608,C06331,P05329,19.0,2022-11-19
ORD006824,C07324,P04156,17.0,2022-01-19
ORD000512,C10289,P00046,15.0,2024-06-14
ORD002894,C01959,P07169,1.0,2021-01-03
ORD004339,C06399,P04335,19.0,2022-05-18
ORD004235,C01258,P08565,20.0,2024-02-20
ORD004852,C00035,P01002,15.0,2022-10-10
ORD009119,C07629,P08225,19.0,2022-03-10
ORD009578,C03213,P02961,17.0,2023-06-27
ORD008211,C03532,P08383,5.0,2024-04-27
ORD001940,C00376,P06871,4.0,2024-11-23
ORD004129,C03058,P09829,4.0,2022-05-22
ORD010389,C03034,P09978,1.0,2023-11-13
ORD001645,C02291,P03563,10.0,2024-09-28
ORD002544,C06785,P00023,19.0,2022-07-17
ORD001052,C04347,P01452,2.0,2021-05-26
ORD002485,C09665,P00514,17.0,2021-03-16
ORD007409,C03981,P09870,19.0,2022-08-16
ORD000592,C03541,P06362,17.0,2023-04-02
ORD008496,C03849,P04631,2.0,2023-11-19
ORD006074,C02368,P04502,17.0,2021-10-26
ORD007867,C02235,P02284,15.0,2024-09-14
ORD000026,C00113,P05996,16.0,2024-07-05
ORD008471,C04813,P01353,19.0,2021-04-02
ORD008216,C07121,P09156,2.0,2024-07-10
ORD004749,C01851,P07095,15.0,2024-01-05
ORD003535,C10203,P09271,17.0,2021-06-15
ORD006488,C09157,P08160,4.0,2024-01-03
ORD000353,C01498,P06404,9.0,2022-04-26
ORD005720,C07132,P01301,19.0,2022-03-11
ORD008025,C02768,P07639,15.0,2021-09-28
ORD005752,C07847,P04112,16.0,2023-09-04
ORD009246,C02868,P06012,8.0,2022-05-12
ORD000529,C04816,P05088,9.0,2023-07-08
ORD006300,C06066,P06381,7.0,2023-10-02
ORD004858,C03221,P01249,1.0,2023-10-28
ORD003057,C00167,P04867,9.0,2023-11-21
ORD003347,C08353,P06130,19.0,2024-10-12
ORD007563,C04056,P06088,5.0,2024-07-12
ORD009316,C07516,P02218,20.0,2024-06-25
ORD004668,C03247,P09888,2.0,2024-01-23
ORD003429,C08448,P05142,11.0,2021-01-01
ORD003801,C04727,P09615,8.0,2023-09-16
ORD004382,C10428,P05547,19.0,2023-01-01
ORD005981,C06409,P02902,13.0,2021-03-23
ORD001733,C02813,P10590,6.0,2022-07-08
ORD007142,C03664,P08992,7.0,2021-04-03
ORD009573,C09048,P01787,8.0,2022-05-26
ORD001384,C05482,P08075,19.0,2021-08-23
ORD003649,C00600,P09569,13.0,2021-08-31
ORD007576,C05937,P02078,10.0,2024-01-14
ORD003351,C08586,P06633,2.0,2023-04-06
ORD010507,C00460,P09413,9.0,2021-08-01
ORD009303,C02899,P01733,5.0,2022-11-07
ORD002606,C00097,P05985,12.0,2024-02-20
ORD005138,C08235,P07025,18.0,2021-09-13
ORD_BAD0059,C99999,P99999,2.0,2023-09-10
ORD005708,C04360,P06757,9.0,2024-10-16
ORD006948,C10068,P09543,1.0,2024-10-19
ORD001667,C00818,P06179,5.0,2024-03-31
ORD001676,C04668,P09530,20.0,2023-07-09
ORD006697,C08238,P02075,14.0,2022-12-30
ORD001151,C05226,P05439,18.0,2022-10-24
ORD007575,C02892,P10440,5.0,2022-06-09
ORD007420,C00291,P07388,10.0,2022-12-01
ORD005206,C01844,P08530,12.0,2021-08-02
ORD009614,C10322,P03272,3.0,2024-10-19
ORD005342,C06200,P06634,13.0,2021-01-11
ORD000533,C03695,P05165,3.0,2021-01-11
ORD005412,C00662,P07284,20.0,2023-09-23
ORD007761,C01445,P04408,8.0,2022-12-20
ORD001772,C08319,P07122,12.0,2022-08-13
ORD005259,C08531,P09798,10.0,2023-03-21
ORD008434,C04874,P00959,14.0,2021-10-22
ORD008498,C03575,P06429,4.0,2022-12-22
ORD004905,C09037,P10366,14.0,2024-06-21
ORD007720,C06397,P08467,18.0,2024-04-07
ORD010150,C05415,P01518,18.0,2023-04-09
ORD_BAD0019,C99999,P99999,2.0,2023-09-10
ORD007913,C06804,P00253,14.0,2023-07-01
ORD010089,C09730,P05274,10.0,2024-05-16
ORD003194,C01191,P06785,18.0,2023-02-20
ORD003119,C07005,P08960,14.0,2021-06-28
ORD003050,C03653,P09484,15.0,2023-07-28
ORD005374,C08750,P01112,20.0,2022-09-27
ORD003094,C01218,P06462,11.0,2021-07-17
ORD004253,C10156,P03158,19.0,2021-08-06
ORD001516,C03214,P09293,2.0,2024-11-28
ORD009513,C01572,P04976,18.0,2024-06-13
ORD001236,C09598,P02545,3.0,2021-10-10
ORD002392,C03219,P05010,8.0,2024-11-01
ORD001348,C03351,P02582,15.0,2022-01-02
ORD003942,C00045,P05230,15.0,2021-06-05
ORD006744,C03356,P01158,15.0,2024-03-21
ORD003375,C08274,P07406,9.0,2024-03-01
ORD007688,C00401,P06983,13.0,2022-07-02
ORD000608,C07052,P00705,5.0,2023-08-08
ORD002447,C05788,P06889,20.0,2021-04-04
ORD007584,C07578,P03644,19.0,2024-08-05
ORD009545,C08186,P10510,2.0,2024-11-08
ORD008552,C09781,P06212,14.0,2024-04-13
ORD010340,C07058,P04985,8.0,2023-01-10
ORD006814,C09302,P10190,13.0,2024-10-10
ORD007237,C08127,P08232,7.0,2024-07-03
ORD010686,C01077,P01679,5.0,2022-07-23
ORD009438,C10481,P03668,20.0,2022-02-20
ORD009895,C05135,P06619,3.0,2022-09-21
ORD000148,C01195,P04944,17.0,2022-10-27
ORD009195,C03004,P10480,12.0,2023-03-31
ORD006245,C01750,P06293,12.0,2021-12-29
ORD_BAD0030,C01815,P05647,,2023-08-20
ORD009739,C02692,P06706,8.0,2024-07-09
ORD003886,C08232,P06314,18.0,2024-10-18
ORD002426,C04031,P00286,14.0,2021-09-04
ORD008591,C05550,P01636,7.0,2022-03-21
ORD010443,C00119,P04388,11.0,2024-06-03
ORD005210,C07010,P04700,14.0,2023-10-10
ORD007055,C10568,P08545,4.0,2022-06-25
ORD002856,C03395,P09569,7.0,2022-06-02
ORD010039,C08127,P08851,12.0,2022-03-21
ORD000657,C04737,P04245,2.0,2022-01-17
ORD002406,C00901,P03961,8.0,2022-12-12
ORD004205,C03563,P01153,3.0,2022-09-19
ORD006003,C08075,P05913,2.0,2021-01-28
ORD007468,C06402,P04448,15.0,2024-07-30
ORD008094,C10090,P05178,14.0,2023-05-02
ORD003306,C07619,P06549,16.0,2023-01-24
ORD005641,C04908,P10602,19.0,2023-06-16
ORD006473,C10633,P02760,2.0,2024-08-31
ORD002338,C03007,P04900,18.0,2023-08-16
ORD005855,C03691,P10739,13.0,2022-03-09
ORD010001,C01161,P08387,4.0,2023-12-31
ORD008676,C04640,P04646,5.0,2023-02-22
ORD003203,C01467,P04374,1.0,2022-02-11
ORD008781,C09193,P00205,6.0,2024-04-04
ORD002465,C07124,P06209,17.0,2023-11-21
ORD002651,C02293,P08744,5.0,2024-07-24
ORD000760,C00499,P09974,9.0,2021-05-22
ORD002521,C04253,P09099,5.0,2022-05-30
ORD005304,C02718,P04796,19.0,2021-12-31
ORD006175,C06483,P02770,10.0,2023-01-21
ORD002828,C05066,P04350,12.0,2024-02-29
ORD000037,C08367,P04417,20.0,2022-08-24
ORD007809,C01582,P03125,5.0,2023-07-06
ORD007127,C08611,P04306,7.0,2022-08-12
ORD005307,C02966,P00780,17.0,2024-04-16
ORD007186,C04488,P06975,19.0,2022-12-15
ORD008344,C03012,P05760,13.0,2024-10-07
ORD007213,C06824,P01403,17.0,2022-07-12
ORD006298,C10485,P10173,20.0,2024-01-08
ORD006437,C08273,P01908,10.0,2021-11-03
ORD002915,C09487,P06112,15.0,2024-05-07
ORD004569,C02997,P02466,2.0,2021-07-12
ORD004192,C03759,P06585,12.0,2024-05-24
ORD003405,C09350,P10567,19.0,2024-10-10
ORD006685,C07022,P08174,10.0,2024-12-19
ORD002490,C01596,P06419,7.0,2021-01-28
ORD009419,C04717,P03361,1.0,2023-11-01
ORD006461,C08762,P03639,7.0,2023-05-16
ORD000612,C04684,P09124,20.0,2022-07-31
ORD007770,C01260,P01900,8.0,2024-06-09
ORD009914,C01966,P03951,20.0,2024-04-08
ORD002298,C00318,P05312,3.0,2024-12-07
ORD005229,C07581,P04112,16.0,2023-05-06
ORD010189,C06429,P09997,17.0,2022-07-21
ORD009008,C01779,P07016,2.0,2021-09-09
ORD000721,C07377,P08616,18.0,2024-08-22
ORD008620,C01459,P04228,5.0,2022-12-30
ORD009368,C05943,P04015,3.0,2022-01-01
ORD001519,C10403,P05659,1.0,2022-05-10
ORD005531,C09336,P06490,10.0,2024-08-22
ORD000059,C08796,P00381,13.0,2023-04-10
ORD003083,C09526,P04847,12.0,2023-10-11
ORD007509,C03854,P05734,20.0,2022-09-29
ORD008984,C03809,P07220,1.0,2023-01-14
ORD007919,C00848,P02558,3.0,2022-12-03
ORD010252,C09008,P07191,6.0,2023-11-24
ORD008297,C00376,P02009,14.0,2023-07-21
ORD003925,C09629,P07468,10.0,2022-11-26
ORD002369,C09365,P00209,1.0,2024-07-22
ORD010600,C08734,P08902,14.0,2023-05-12
ORD001834,C04008,P03812,4.0,2024-01-06
ORD000208,C02953,P08863,3.0,2021-11-24
ORD005978,C04597,P03239,19.0,2021-02-06
ORD005261,C01279,P06499,7.0,2022-05-15
ORD007459,C00791,P06447,2.0,2023-05-31
ORD005566,C00503,P03555,6.0,2022-05-04
ORD003570,C05938,P03716,8.0,2022-05-13
ORD003131,C09433,P09669,2.0,2023-11-17
